type,status,priority,estimatedHours,budget,expectedViews,expectedClicks,expectedLeads,expectedConversions,expectedCTR,expectedConversionRate,platforms,channel,complexityScore,riskLevel,delayHours,reopenCount,actualDurationHours
CONTENT_CREATION,TO_DO,MEDIUM,15,850.00,10000,380,25,7,3.80,0.70,Website,Content,3,2,0.00,0,15
EMAIL,IN_PROGRESS,MEDIUM,11,640.00,16000,700,40,10,4.38,0.63,Email,Email,3,2,0.00,0,11
PPC,IN_REVIEW,MEDIUM,18,3000.00,45000,1800,90,22,4.00,0.50,Display,Programmatic,4,2,0.00,0,18
ANALYTICS,IN_PROGRESS,HIGH,22,1200.00,0,0,0,0,0.00,0.00,Website,Conversion,4,3,0.00,0,22
DESIGN,TO_DO,LOW,4,95.00,0,0,0,0,0.00,0.00,Display,Creative,1,1,0.00,0,4
SEO,TO_DO,LOW,3,130.00,0,0,0,0,0.00,0.00,Google,Local,1,1,0.00,0,3
SOCIAL_MEDIA,IN_REVIEW,MEDIUM,12,980.00,24000,850,42,11,3.54,0.46,"Instagram;TikTok",Social,3,2,0.00,0,12
CONTENT_CREATION,IN_PROGRESS,HIGH,34,2400.00,38000,1500,85,22,3.95,0.58,YouTube,Video,4,3,0.00,0,34
EMAIL,TO_DO,LOW,2,55.00,1200,50,3,1,4.17,0.25,Email,Email,1,1,0.00,0,2
PPC,IN_PROGRESS,HIGH,40,12500.00,200000,9000,450,110,4.50,0.55,Google,SEM,5,3,0.00,1,40
ANALYTICS,IN_REVIEW,CRITICAL,50,2800.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,50
DESIGN,IN_PROGRESS,MEDIUM,20,1100.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,20
COPYWRITING,IN_REVIEW,LOW,8,260.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,8
SEO,TO_DO,MEDIUM,10,520.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,10
SOCIAL_MEDIA,IN_PROGRESS,HIGH,36,6200.00,100000,4200,220,55,4.20,0.55,"Facebook;LinkedIn",Social,4,3,0.00,0,36
CONTENT_CREATION,IN_REVIEW,MEDIUM,22,1300.00,18000,700,40,11,3.89,0.61,Website,Content,3,2,0.00,0,22
EMAIL,IN_PROGRESS,MEDIUM,13,780.00,19000,850,48,12,4.47,0.63,Email,Email,3,2,0.00,0,13
PPC,TO_DO,MEDIUM,24,3600.00,60000,2600,130,32,4.33,0.55,Display,Programmatic,4,2,0.00,0,24
ANALYTICS,IN_PROGRESS,HIGH,30,1700.00,0,0,0,0,0.00,0.00,Website,Performance,4,3,0.00,0,30
DESIGN,TO_DO,LOW,6,200.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,6
SEO,IN_REVIEW,HIGH,28,1500.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,28
SOCIAL_MEDIA,TO_DO,MEDIUM,14,1000.00,30000,1200,60,15,4.00,0.50,"Instagram;Twitter",Social,3,2,0.00,0,14
CONTENT_CREATION,IN_PROGRESS,HIGH,42,3200.00,50000,2000,120,32,4.00,0.64,YouTube,Video,4,3,0.00,0,42
EMAIL,IN_REVIEW,LOW,4,150.00,7000,300,18,4,4.29,0.57,Email,Email,2,1,0.00,0,4
PPC,IN_PROGRESS,CRITICAL,90,60000.00,900000,45000,2400,600,5.00,0.67,Google,SEM,5,4,0.00,3,90
ANALYTICS,TO_DO,CRITICAL,96,8000.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,5,0.00,0,96
DESIGN,IN_REVIEW,MEDIUM,16,920.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,16
COPYWRITING,TO_DO,LOW,5,170.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,5
SEO,IN_PROGRESS,MEDIUM,20,1000.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,20
SOCIAL_MEDIA,IN_REVIEW,HIGH,30,5400.00,95000,3800,210,52,4.00,0.55,"Facebook;Instagram",Social,4,3,0.00,0,30
CONTENT_CREATION,TO_DO,MEDIUM,18,1000.00,12000,450,28,8,3.75,0.67,Website,Content,3,2,0.00,0,18
EMAIL,IN_PROGRESS,MEDIUM,10,600.00,15000,700,40,10,4.38,0.67,Email,Email,3,2,0.00,0,10
PPC,IN_REVIEW,MEDIUM,26,5200.00,85000,3600,180,45,4.24,0.53,Display,Programmatic,4,3,0.00,0,26
ANALYTICS,IN_PROGRESS,HIGH,24,1400.00,0,0,0,0,0.00,0.00,Website,Conversion,4,3,0.00,0,24
DESIGN,TO_DO,LOW,7,210.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,7
SEO,TO_DO,LOW,4,160.00,0,0,0,0,0.00,0.00,Google,Local,1,1,0.00,0,4
SOCIAL_MEDIA,IN_PROGRESS,MEDIUM,22,1800.00,40000,1500,80,20,3.75,0.50,"LinkedIn;Twitter",Social,3,2,0.00,0,22
CONTENT_CREATION,IN_REVIEW,HIGH,36,2600.00,42000,1600,95,26,3.81,0.62,YouTube,Video,4,3,0.00,0,36
EMAIL,TO_DO,LOW,3,100.00,3500,140,9,2,4.00,0.57,Email,Email,1,1,0.00,0,3
PPC,IN_PROGRESS,HIGH,48,20000.00,320000,15000,800,200,4.69,0.63,Google,SEM,5,4,0.00,1,48
ANALYTICS,IN_REVIEW,CRITICAL,60,3500.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,60
DESIGN,IN_PROGRESS,MEDIUM,12,760.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,12
COPYWRITING,IN_PROGRESS,LOW,6,200.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,6
SEO,IN_REVIEW,MEDIUM,14,720.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,14
SOCIAL_MEDIA,TO_DO,MEDIUM,16,1200.00,30000,1100,55,14,3.67,0.46,"Instagram;TikTok",Social,3,2,0.00,0,16
CONTENT_CREATION,IN_PROGRESS,HIGH,44,3400.00,60000,2400,140,36,4.00,0.60,YouTube,Video,4,3,0.00,0,44
EMAIL,IN_REVIEW,LOW,4,130.00,6000,260,14,4,4.33,0.67,Email,Email,2,1,0.00,0,4
PPC,IN_PROGRESS,CRITICAL,84,52000.00,800000,40000,2200,550,5.00,0.66,Google,SEM,5,4,0.00,2,84
ANALYTICS,TO_DO,CRITICAL,100,9000.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,5,0.00,0,100
DESIGN,IN_REVIEW,MEDIUM,18,980.00,0,0,0,0,0.00,0.00,Website,Creative,3,2,0.00,0,18
COPYWRITING,TO_DO,LOW,5,150.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,5
SEO,IN_PROGRESS,HIGH,30,1800.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,30
SOCIAL_MEDIA,IN_REVIEW,MEDIUM,20,1500.00,35000,1300,70,18,3.71,0.51,"Facebook;LinkedIn",Social,3,2,0.00,0,20
CONTENT_CREATION,TO_DO,MEDIUM,24,1400.00,20000,800,50,12,4.00,0.60,Website,Content,3,2,0.00,0,24
EMAIL,IN_PROGRESS,MEDIUM,15,900.00,22000,1000,55,14,4.55,0.64,Email,Email,3,2,0.00,0,15
PPC,IN_REVIEW,MEDIUM,28,6400.00,100000,4200,210,55,4.20,0.53,Display,Programmatic,4,3,0.00,0,28
ANALYTICS,IN_PROGRESS,HIGH,26,1500.00,0,0,0,0,0.00,0.00,Website,Conversion,4,3,0.00,0,26
DESIGN,TO_DO,LOW,6,190.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,6
SEO,TO_DO,LOW,4,170.00,0,0,0,0,0.00,0.00,Google,Local,1,1,0.00,0,4
SOCIAL_MEDIA,IN_PROGRESS,HIGH,34,5600.00,95000,3800,210,52,4.00,0.55,"Instagram;TikTok",Social,4,3,0.00,0,34
CONTENT_CREATION,IN_REVIEW,MEDIUM,21,1150.00,14000,520,30,9,3.71,0.64,Website,Content,3,2,0.00,0,21
EMAIL,TO_DO,LOW,3,110.00,3200,130,7,2,4.17,0.63,Email,Email,1,1,0.00,0,3
PPC,IN_PROGRESS,HIGH,38,9800.00,160000,7600,380,100,4.63,0.60,Google,SEM,5,3,0.00,1,38
ANALYTICS,IN_REVIEW,CRITICAL,52,3000.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,52
DESIGN,IN_PROGRESS,MEDIUM,14,840.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,14
COPYWRITING,IN_PROGRESS,LOW,6,190.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,6
SEO,IN_REVIEW,MEDIUM,18,980.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,18
CAMPAIGN,IN_PROGRESS,HIGH,92,16000.00,240000,9500,480,120,3.96,0.50,"Facebook;Google",Multi,4,3,0.00,0,92
CONTENT_CREATION,TO_DO,MEDIUM,13,720.00,9500,360,24,6,3.79,0.63,Website,Content,3,2,0.00,0,13
EMAIL,IN_PROGRESS,MEDIUM,8,480.00,13000,560,32,8,4.31,0.62,Email,Email,3,2,0.00,0,8
PPC,IN_REVIEW,MEDIUM,22,4200.00,70000,3000,160,40,4.29,0.57,Display,Programmatic,4,2,0.00,0,22
ANALYTICS,TO_DO,HIGH,34,2100.00,0,0,0,0,0.00,0.00,Website,Performance,4,3,0.00,0,34
DESIGN,TO_DO,LOW,5,130.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,5
SEO,IN_PROGRESS,MEDIUM,20,1100.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,20
SOCIAL_MEDIA,IN_REVIEW,HIGH,28,5000.00,90000,3600,200,50,4.00,0.56,"Facebook;Instagram",Social,4,3,0.00,0,28
CONTENT_CREATION,IN_PROGRESS,MEDIUM,19,980.00,13000,480,28,8,3.69,0.61,Website,Content,3,2,0.00,0,19
EMAIL,TO_DO,LOW,3,95.00,2800,110,6,2,4.00,0.64,Email,Email,1,1,0.00,0,3
PPC,IN_PROGRESS,HIGH,44,14500.00,240000,11000,560,140,4.55,0.58,Google,SEM,5,3,0.00,1,44
ANALYTICS,IN_REVIEW,CRITICAL,68,4200.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,68
DESIGN,IN_PROGRESS,MEDIUM,16,900.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,16
COPYWRITING,TO_DO,LOW,6,210.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,6
SEO,IN_REVIEW,HIGH,32,1700.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,32
SOCIAL_MEDIA,IN_PROGRESS,MEDIUM,24,2000.00,42000,1600,90,24,3.81,0.57,"Instagram;TikTok",Social,3,2,0.00,0,24
CONTENT_CREATION,IN_REVIEW,HIGH,40,3000.00,52000,2100,130,34,4.04,0.62,YouTube,Video,4,3,0.00,0,40
EMAIL,IN_PROGRESS,MEDIUM,12,720.00,18000,800,45,11,4.44,0.61,Email,Email,3,2,0.00,0,12
PPC,TO_DO,MEDIUM,26,5600.00,90000,3800,200,50,4.22,0.56,Display,Programmatic,4,3,0.00,0,26
ANALYTICS,IN_PROGRESS,HIGH,30,1600.00,0,0,0,0,0.00,0.00,Website,Conversion,4,3,0.00,0,30
DESIGN,TO_DO,LOW,7,230.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,7
SEO,TO_DO,LOW,4,150.00,0,0,0,0,0.00,0.00,Google,Local,1,1,0.00,0,4
SOCIAL_MEDIA,IN_PROGRESS,HIGH,38,7600.00,140000,6000,340,85,4.29,0.61,"Facebook;LinkedIn",Social,4,3,0.00,0,38
CONTENT_CREATION,TO_DO,MEDIUM,17,880.00,11000,420,26,7,3.82,0.64,Website,Content,3,2,0.00,0,17
EMAIL,IN_REVIEW,LOW,4,160.00,6500,280,16,4,4.38,0.62,Email,Email,2,1,0.00,0,4
PPC,IN_PROGRESS,HIGH,50,21000.00,340000,15000,800,200,4.76,0.59,Google,SEM,5,4,0.00,1,50
ANALYTICS,TO_DO,CRITICAL,88,5200.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,5,0.00,0,88
DESIGN,IN_REVIEW,MEDIUM,18,1000.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,18
COPYWRITING,IN_PROGRESS,LOW,6,200.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,6
SEO,IN_REVIEW,MEDIUM,22,1200.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,22
CAMPAIGN,IN_PROGRESS,HIGH,100,22000.00,350000,15000,800,200,4.55,0.57,"Facebook;Google",Multi,4,3,0.00,0,100
CAMPAIGN,IN_PROGRESS,HIGH,110,18000.00,220000,9000,420,110,4.09,0.50,"Facebook;Instagram",Multi,4,3,0.00,0,110
CONTENT_CREATION,TO_DO,MEDIUM,9,480.00,6000,240,18,5,4.00,0.75,Website,Content,3,2,0.00,0,9
SEO,IN_PROGRESS,HIGH,34,2100.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,34
SOCIAL_MEDIA,IN_REVIEW,MEDIUM,15,1200.00,26000,1000,50,12,3.85,0.48,"Instagram;TikTok",Social,3,2,0.00,0,15
EMAIL,TO_DO,LOW,2,40.00,1500,60,4,1,4.00,0.27,Email,Email,1,1,0.00,0,2
PPC,IN_PROGRESS,HIGH,52,24000.00,360000,16000,800,200,4.44,0.56,Google,SEM,5,4,0.00,1,52
ANALYTICS,IN_REVIEW,CRITICAL,64,4200.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,64
DESIGN,TO_DO,MEDIUM,11,760.00,0,0,0,0,0.00,0.00,Website,Creative,3,2,0.00,0,11
COPYWRITING,IN_PROGRESS,LOW,7,210.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,7
PPC,IN_REVIEW,MEDIUM,19,3300.00,45000,1800,90,22,4.00,0.49,Display,Programmatic,4,2,0.00,0,19
SOCIAL_MEDIA,DONE,HIGH,28,4800.00,85000,3400,190,48,4.00,0.56,"Facebook;LinkedIn",Social,4,2,0.00,0,28
CONTENT_CREATION,IN_PROGRESS,HIGH,32,2600.00,42000,1600,95,26,3.81,0.62,YouTube,Video,4,3,0.00,0,32
EMAIL,IN_REVIEW,MEDIUM,10,520.00,14000,600,35,9,4.29,0.64,Email,Email,3,2,0.00,0,10
DESIGN,TO_DO,LOW,5,140.00,0,0,0,0,0.00,0.00,Display,Creative,2,1,0.00,0,5
ANALYTICS,TO_DO,HIGH,30,1600.00,0,0,0,0,0.00,0.00,Website,Conversion,4,3,0.00,0,30
SEO,IN_PROGRESS,MEDIUM,12,650.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,12
CAMPAIGN,TO_DO,CRITICAL,240,30000.00,500000,22000,1200,300,4.40,0.60,"Facebook;Google",Multi,5,4,0.00,0,240
CONTENT_CREATION,TO_DO,LOW,4,160.00,2000,80,6,2,4.00,0.75,Website,Content,2,1,0.00,0,4
EMAIL,DONE,LOW,3,100.00,5000,200,12,3,4.00,0.60,Email,Email,1,1,0.00,0,3
PPC,IN_PROGRESS,HIGH,44,15000.00,250000,10000,500,120,4.00,0.48,Google,SEM,5,4,0.00,1,44
DESIGN,IN_REVIEW,MEDIUM,18,980.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,18
ANALYTICS,IN_PROGRESS,MEDIUM,14,720.00,0,0,0,0,0.00,0.00,Internal,Analytics,3,2,0.00,0,14
SEO,TO_DO,LOW,6,220.00,0,0,0,0,0.00,0.00,Website,Organic,1,1,0.00,0,6
SOCIAL_MEDIA,IN_PROGRESS,HIGH,36,6200.00,100000,4200,220,55,4.20,0.55,"Facebook;Instagram",Social,4,3,0.00,0,36
CONTENT_CREATION,IN_REVIEW,MEDIUM,22,1300.00,18000,700,40,11,3.89,0.61,Website,Content,3,2,0.00,0,22
EMAIL,IN_PROGRESS,MEDIUM,13,780.00,19000,850,48,12,4.47,0.63,Email,Email,3,2,0.00,0,13
PPC,TO_DO,MEDIUM,24,3600.00,60000,2600,130,32,4.33,0.55,Display,Programmatic,4,2,0.00,0,24
ANALYTICS,IN_PROGRESS,HIGH,30,1700.00,0,0,0,0,0.00,0.00,Website,Performance,4,3,0.00,0,30
DESIGN,TO_DO,LOW,6,200.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,6
SEO,TO_DO,LOW,4,170.00,0,0,0,0,0.00,0.00,Google,Local,1,1,0.00,0,4
SOCIAL_MEDIA,IN_PROGRESS,HIGH,34,5600.00,95000,3800,210,52,4.00,0.55,"Facebook;LinkedIn",Social,4,3,0.00,0,34
CONTENT_CREATION,TO_DO,MEDIUM,17,880.00,11000,420,26,7,3.82,0.64,Website,Content,3,2,0.00,0,17
EMAIL,IN_REVIEW,LOW,4,160.00,6500,280,16,4,4.38,0.62,Email,Email,2,1,0.00,0,4
PPC,IN_PROGRESS,HIGH,50,21000.00,340000,15000,800,200,4.76,0.59,Google,SEM,5,4,0.00,1,50
ANALYTICS,TO_DO,CRITICAL,88,5200.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,5,0.00,0,88
DESIGN,IN_REVIEW,MEDIUM,16,900.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,16
COPYWRITING,TO_DO,LOW,5,170.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,5
SEO,IN_PROGRESS,HIGH,30,1800.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,30
SOCIAL_MEDIA,IN_REVIEW,MEDIUM,20,1500.00,35000,1300,70,18,3.71,0.51,"Facebook;LinkedIn",Social,3,2,0.00,0,20
CONTENT_CREATION,TO_DO,MEDIUM,24,1400.00,20000,800,50,12,4.00,0.60,Website,Content,3,2,0.00,0,24
EMAIL,IN_PROGRESS,MEDIUM,15,900.00,22000,1000,55,14,4.55,0.64,Email,Email,3,2,0.00,0,15
PPC,IN_REVIEW,MEDIUM,28,6400.00,100000,4200,210,55,4.20,0.53,Display,Programmatic,4,3,0.00,0,28
ANALYTICS,IN_PROGRESS,HIGH,26,1500.00,0,0,0,0,0.00,0.00,Website,Conversion,4,3,0.00,0,26
DESIGN,TO_DO,LOW,6,190.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,6
SEO,TO_DO,LOW,4,170.00,0,0,0,0,0.00,0.00,Google,Local,1,1,0.00,0,4
SOCIAL_MEDIA,IN_PROGRESS,HIGH,38,7600.00,140000,6000,340,85,4.29,0.61,"Facebook;LinkedIn",Social,4,3,0.00,0,38
CONTENT_CREATION,TO_DO,MEDIUM,17,880.00,11000,420,26,7,3.82,0.64,Website,Content,3,2,0.00,0,17
EMAIL,IN_REVIEW,LOW,4,160.00,6500,280,16,4,4.38,0.62,Email,Email,2,1,0.00,0,4
PPC,IN_PROGRESS,HIGH,50,21000.00,340000,15000,800,200,4.76,0.59,Google,SEM,5,4,0.00,1,50
ANALYTICS,TO_DO,CRITICAL,88,5200.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,5,0.00,0,88
DESIGN,IN_REVIEW,MEDIUM,16,900.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,16
COPYWRITING,TO_DO,LOW,5,170.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,5
SEO,IN_PROGRESS,HIGH,30,1800.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,30
SOCIAL_MEDIA,IN_REVIEW,MEDIUM,20,1500.00,35000,1300,70,18,3.71,0.51,"Facebook;LinkedIn",Social,3,2,0.00,0,20
CONTENT_CREATION,TO_DO,MEDIUM,24,1400.00,20000,800,50,12,4.00,0.60,Website,Content,3,2,0.00,0,24
EMAIL,IN_PROGRESS,MEDIUM,15,900.00,22000,1000,55,14,4.55,0.64,Email,Email,3,2,0.00,0,15
PPC,IN_REVIEW,MEDIUM,28,6400.00,100000,4200,210,55,4.20,0.53,Display,Programmatic,4,3,0.00,0,28
ANALYTICS,IN_PROGRESS,HIGH,26,1500.00,0,0,0,0,0.00,0.00,Website,Conversion,4,3,0.00,0,26
DESIGN,TO_DO,LOW,6,190.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,6
SEO,TO_DO,LOW,4,170.00,0,0,0,0,0.00,0.00,Google,Local,1,1,0.00,0,4
SOCIAL_MEDIA,IN_PROGRESS,HIGH,38,7600.00,140000,6000,340,85,4.29,0.61,"Facebook;LinkedIn",Social,4,3,0.00,0,38
CONTENT_CREATION,IN_REVIEW,MEDIUM,21,1150.00,14000,520,30,9,3.71,0.64,Website,Content,3,2,0.00,0,21
EMAIL,TO_DO,LOW,3,110.00,3200,130,7,2,4.17,0.63,Email,Email,1,1,0.00,0,3
PPC,IN_PROGRESS,HIGH,38,9800.00,160000,7600,380,100,4.63,0.60,Google,SEM,5,3,0.00,1,38
ANALYTICS,IN_REVIEW,CRITICAL,52,3000.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,52
DESIGN,IN_PROGRESS,MEDIUM,14,840.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,14
COPYWRITING,IN_PROGRESS,LOW,6,190.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,6
SEO,IN_REVIEW,MEDIUM,18,980.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,18
CAMPAIGN,IN_PROGRESS,HIGH,92,16000.00,240000,9500,480,120,3.96,0.50,"Facebook;Google",Multi,4,3,0.00,0,92
CONTENT_CREATION,TO_DO,MEDIUM,13,720.00,9500,360,24,6,3.79,0.63,Website,Content,3,2,0.00,0,13
EMAIL,IN_PROGRESS,MEDIUM,8,480.00,13000,560,32,8,4.31,0.62,Email,Email,3,2,0.00,0,8
PPC,IN_REVIEW,MEDIUM,22,4200.00,70000,3000,160,40,4.29,0.57,Display,Programmatic,4,2,0.00,0,22
ANALYTICS,TO_DO,HIGH,34,2100.00,0,0,0,0,0.00,0.00,Website,Performance,4,3,0.00,0,34
DESIGN,TO_DO,LOW,5,130.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,5
SEO,IN_PROGRESS,MEDIUM,20,1100.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,20
SOCIAL_MEDIA,IN_REVIEW,HIGH,28,5000.00,90000,3600,200,50,4.00,0.56,"Facebook;Instagram",Social,4,3,0.00,0,28
CONTENT_CREATION,IN_PROGRESS,MEDIUM,19,980.00,13000,480,28,8,3.69,0.61,Website,Content,3,2,0.00,0,19
EMAIL,TO_DO,LOW,3,95.00,2800,110,6,2,4.00,0.64,Email,Email,1,1,0.00,0,3
PPC,IN_PROGRESS,HIGH,44,14500.00,240000,11000,560,140,4.55,0.58,Google,SEM,5,3,0.00,1,44
ANALYTICS,IN_REVIEW,CRITICAL,68,4200.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,68
DESIGN,IN_PROGRESS,MEDIUM,16,900.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,16
COPYWRITING,TO_DO,LOW,6,210.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,6
SEO,IN_REVIEW,HIGH,32,1700.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,32
SOCIAL_MEDIA,IN_PROGRESS,MEDIUM,24,2000.00,42000,1600,90,24,3.81,0.57,"Instagram;TikTok",Social,3,2,0.00,0,24
CONTENT_CREATION,IN_REVIEW,HIGH,40,3000.00,52000,2100,130,34,4.04,0.62,YouTube,Video,4,3,0.00,0,40
EMAIL,IN_PROGRESS,MEDIUM,12,720.00,18000,800,45,11,4.44,0.61,Email,Email,3,2,0.00,0,12
PPC,TO_DO,MEDIUM,26,5600.00,90000,3800,200,50,4.22,0.56,Display,Programmatic,4,3,0.00,0,26
ANALYTICS,IN_PROGRESS,HIGH,30,1600.00,0,0,0,0,0.00,0.00,Website,Conversion,4,3,0.00,0,30
DESIGN,TO_DO,LOW,7,230.00,0,0,0,0,0.00,0.00,Website,Creative,2,1,0.00,0,7
SEO,TO_DO,LOW,4,150.00,0,0,0,0,0.00,0.00,Google,Local,1,1,0.00,0,4
SOCIAL_MEDIA,IN_PROGRESS,HIGH,38,7600.00,140000,6000,340,85,4.29,0.61,"Facebook;LinkedIn",Social,4,3,0.00,0,38
CONTENT_CREATION,TO_DO,MEDIUM,17,880.00,11000,420,26,7,3.82,0.64,Website,Content,3,2,0.00,0,17
EMAIL,IN_REVIEW,LOW,4,160.00,6500,280,16,4,4.38,0.62,Email,Email,2,1,0.00,0,4
PPC,IN_PROGRESS,HIGH,50,21000.00,340000,15000,800,200,4.76,0.59,Google,SEM,5,4,0.00,1,50
ANALYTICS,TO_DO,CRITICAL,88,5200.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,5,0.00,0,88
DESIGN,IN_REVIEW,MEDIUM,16,900.00,0,0,0,0,0.00,0.00,App,Creative,3,2,0.00,0,16
COPYWRITING,TO_DO,LOW,5,170.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,5
SEO,IN_PROGRESS,HIGH,30,1800.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,30
CAMPAIGN,IN_PROGRESS,HIGH,100,22000.00,350000,15000,800,200,4.55,0.57,"Facebook;Google",Multi,4,3,0.00,0,100
CAMPAIGN,IN_PROGRESS,HIGH,95,12500.00,180000,8200,420,105,4.56,0.58,"Facebook;Instagram",Multi,4,3,0.00,0,95
CONTENT_CREATION,TO_DO,MEDIUM,11,540.00,7000,260,18,5,3.71,0.64,Website,Content,3,2,0.00,0,11
SEO,IN_PROGRESS,HIGH,27,1400.00,0,0,0,0,0.00,0.00,Website,Organic,4,3,0.00,0,27
SOCIAL_MEDIA,IN_REVIEW,MEDIUM,13,980.00,24000,920,48,12,3.83,0.50,"Instagram;TikTok",Social,3,2,0.00,0,13
EMAIL,TO_DO,LOW,2,45.00,1200,50,4,1,4.17,0.33,Email,Email,1,1,0.00,0,2
PPC,IN_PROGRESS,HIGH,42,16000.00,260000,11000,560,140,4.23,0.54,Google,SEM,5,3,0.00,1,42
ANALYTICS,IN_REVIEW,CRITICAL,58,3400.00,0,0,0,0,0.00,0.00,Internal,Analytics,5,4,0.00,0,58
DESIGN,TO_DO,MEDIUM,9,680.00,0,0,0,0,0.00,0.00,Website,Creative,3,2,0.00,0,9
COPYWRITING,IN_PROGRESS,LOW,6,210.00,0,0,0,0,0.00,0.00,Website,Content,2,1,0.00,0,6
PPC,IN_REVIEW,MEDIUM,21,3000.00,42000,1700,85,20,4.05,0.51,Display,Programmatic,4,2,0.00,0,21
SOCIAL_MEDIA,DONE,HIGH,34,5200.00,95000,3800,210,52,4.00,0.56,"Facebook;LinkedIn",Social,4,2,0.00,0,34
CONTENT_CREATION,IN_PROGRESS,HIGH,30,2400.00,36000,1400,80,20,3.89,0.56,YouTube,Video,4,3,0.00,0,30
EMAIL,IN_REVIEW,MEDIUM,10,580.00,15000,650,36,9,4.33,0.60,Email,Email,3,2,0.00,0,10
DESIGN,TO_DO,LOW,5,130.00,0,0,0,0,0.00,0.00,Display,Creative,2,1,0.00,0,5
ANALYTICS,TO_DO,HIGH,28,1500.00,0,0,0,0,0.00,0.00,Website,Conversion,4,3,0.00,0,28
SEO,IN_PROGRESS,MEDIUM,15,820.00,0,0,0,0,0.00,0.00,Website,Organic,3,2,0.00,0,15
CAMPAIGN,TO_DO,CRITICAL,210,28000.00,420000,19000,1000,260,4.52,0.62,"Facebook;Google",Multi,5,4,0.00,0,210
